date,supplier,delivery_mode,amount,purchase_reference,user_account
2022-11-07,KING MAKER ELECTRICAL LTD,INVOICE,1650.0,1696,ADMIN
2022-11-07,KING MAKER ELECTRICAL LTD,INVOICE,1600.0,1695,ADMIN
2022-11-07,TALAM,INVOICE,1100.0,1698,ADMIN
2022-11-07,TALAM,INVOICE,950.0,1698,ADMIN
2022-11-07,TALAM,INVOICE,750.0,1698,ADMIN
2022-11-07,TALAM,INVOICE,1260.0,1698,ADMIN
2022-11-07,COASTWISE,INVOICE,2200.0,1701,ADMIN
2022-11-07,NANCY ENTERPRISES,INVOICE,3800.0,1719,ADMIN
2022-11-07,POWERTEX,INVOICE,7500.0,1717,ADMIN
2022-11-07,LUCILL ENTERPRISES,INVOICE,2500.0,1716,ADMIN
2022-11-07,TALAM,INVOICE,1740.0,1715,ADMIN
2022-11-07,SHANKI ENTERPRISES,INVOICE,2400.0,1714,ADMIN
2022-11-07,KESSY ENTERPRISES,INVOICE,3400.0,1291,ADMIN
2022-11-07,POWERTEX,INVOICE,6200.0,1718,ADMIN
2022-11-07,KING MAKER ELECTRICAL LTD,INVOICE,6600.0,1710,ADMIN
2022-11-07,TALAM,INVOICE,7500.0,1690,ADMIN
2022-11-07,TALAM,INVOICE,9200.0,1690,ADMIN
2022-11-08,OPENING STOCKS,INVOICE,100000.0,1,EVE
2022-11-09,CBC STORE PLAZA,INVOICE,528.0,51122,SUNDOWNER
2022-11-09,STARMAN LIGHTING CO.LTD,INVOICE,2500.0,390,ADMIN
2022-11-09,MERRY SONS,INVOICE,27750.0,7500,ADMIN
2022-11-09,TALAM,INVOICE,2500.0,1725,ADMIN
2022-11-09,PURE POWER,INVOICE,3500.0,1723,ADMIN
2022-11-09,SMART JONES,INVOICE,2500.0,1722,ADMIN
2022-11-09,NANCY ENTERPRISES,INVOICE,3800.0,1721,ADMIN
2022-11-09,GOLDMAX ELECTRICALS LTD,INVOICE,13080.0,1626,ADMIN
2022-11-09,POWERMAX SHOP,INVOICE,1250.0,1627,ADMIN
2022-11-09,NEW FAITH,INVOICE,8500.0,1621,ADMIN
2022-11-09,STARMAN LIGHTING CO.LTD,INVOICE,2500.0,1617,ADMIN
2022-11-09,TALAN,INVOICE,3400.0,1624,ADMIN
2022-11-09,QUICK POWER,INVOICE,3800.0,1620,ADMIN
2022-11-09,KING MAKER ELECTRICAL LTD,INVOICE,9400.0,1625,ADMIN
2022-11-09,EMILY ENTERPRICES,INVOICE,300.0,1297,ADMIN
2022-11-09,EDGE ELECTRONICS,INVOICE,22400.0,3566,ADMIN
2022-11-09,SMART JONES,INVOICE,8800.0,1305,ADMIN
2022-11-09,NANCY ENTERPRISES,INVOICE,300.0,1304,ADMIN
2022-11-09,ALEXIS,INVOICE,520.0,1303,ADMIN
2022-11-09,TALAM,INVOICE,3060.0,1302,ADMIN
2022-11-09,TALAM,INVOICE,3000.0,1300,ADMIN
2022-11-09,TALAM,INVOICE,1000.0,1301,ADMIN
2022-11-09,NEELUX COMPANY LIMITED,INVOICE,32000.0,1211,ADMIN
2022-11-09,LUCY,INVOICE,8400.0,1635,ADMIN
2022-11-09,KING MAKER ELECTRICAL LTD,INVOICE,2200.0,1634,ADMIN
2022-11-09,DPLIGHT,INVOICE,3000.0,1633,ADMIN
2022-11-09,TALAM,INVOICE,1100.0,1632,ADMIN
2022-11-09,TALAN,INVOICE,12500.0,1629,ADMIN
2022-11-09,TALAM,INVOICE,6400.0,1628,ADMIN
2022-11-09,PRIME POWER,INVOICE,4600.0,1630,ADMIN
2022-11-09,PURE POWER,INVOICE,2300.0,1294,ADMIN
2022-11-09,PES ELECTRICALS &,INVOICE,12000.0,1296,ADMIN
2022-11-09,KAGAA ELECTRICALS,INVOICE,1750.0,1299,ADMIN
2022-11-09,TALAM,INVOICE,3000.0,1298,ADMIN
2022-11-09,POWERMAX SHOP,INVOICE,8550.0,1638,ADMIN
2022-11-09,DAT SOLAR HOME LIGHTING,INVOICE,54400.0,1550,ADMIN
2022-11-09,POWERMAX SHOP,INVOICE,2600.0,1637,ADMIN
2022-11-09,JOY BLESSING ELECTRICALS,INVOICE,1400.0,1636,ADMIN
2022-11-09,KAREITHI ELECTRICAL SHOP,INVOICE,70400.0,8739,ADMIN
2022-11-09,SOATIA VENTURES,INVOICE,123000.0,0062,ADMIN
2022-11-09,MILLY SMARTS,INVOICE,18000.0,212,ADMIN
2022-11-09,FOC K SUPLLY CHAIN,INVOICE,60000.0,599,ADMIN
2022-11-09,TRONIC KENYA LIMITED,INVOICE,9397.0,NM-55043,ADMIN
2022-11-10,ELECTRIC LINK PAN AFRICA LTD,INVOICE,21600.0,dsm-23780,ADMIN
2022-11-10,ELECTRIC LINK PAN AFRICA LTD,INVOICE,12375.0,dsm-23823,ADMIN
2022-11-10,LUMINIXE LIMITED,INVOICE,55850.0,533,ADMIN
2022-11-10,HIKVISION,INVOICE,12500.0,1710,ADMIN
2022-11-10,TIONAJO TRADERS,INVOICE,73000.0,5647,ADMIN
2022-11-10,DIGITAL ENTERPRISES,INVOICE,21600.0,01,ADMIN
2022-11-10,DAT SOLAR HOME LIGHTING,INVOICE,28400.0,1556,ADMIN
2022-11-10,WANCHA ELECTRICALS,INVOICE,1650.0,1590,ADMIN
2022-11-10,PREMIER TRADING LTD,INVOICE,4000.0,7437,ADMIN
2022-11-10,KING MAKER ELECTRICAL LTD,INVOICE,11700.0,1639,ADMIN
2022-11-10,TARTEX LTD,INVOICE,5000.0,1746,ADMIN
2022-11-10,STARMAN LIGHTING CO.LTD,INVOICE,7500.0,395,ADMIN
2022-11-10,QUICK POWER,INVOICE,1520.0,1642,ADMIN
2022-11-10,JOY BLESSING ELECTRICALS,INVOICE,3300.0,1640,ADMIN
2022-11-10,TALAM,INVOICE,4000.0,1641,ADMIN
2022-11-10,TALAM,INVOICE,3750.0,1644,ADMIN
2022-11-10,QUICK POWER,INVOICE,8050.0,1647,ADMIN
2022-11-10,RICH MARK ELECTRICAL SALES,INVOICE,150.0,1307,ADMIN
2022-11-10,SHANKI ENTERPRISES,INVOICE,2800.0,1310,ADMIN
2022-11-10,LUCY,INVOICE,10800.0,1648,ADMIN
2022-11-10,EMILY ENTERPRICES,INVOICE,300.0,1297,ADMIN
2022-11-11,SHOP STORE,INVOICE,80.0,51168,CHRIS
2022-11-11,MERRY SONS,INVOICE,2200.0,1315,ADMIN
2022-11-11,NEW WISE,INVOICE,8000.0,1316,ADMIN
2022-11-11,CBC STORE PLAZA,INVOICE,30.0,51172,ADMIN
2022-11-11,JOY ENTERPRISES,CASH SALE RECEIPT,240.0,186,ADMIN
2022-11-11,SHARKMAH HARDWARE,CASH SALE RECEIPT,720.0,4737,ADMIN
2022-11-11,RWABA HOLDING LIMITED,INVOICE,3300.0,123,ADMIN
2022-11-11,THIRD WORLD,CASH SALE RECEIPT,2750.0,1314,ADMIN
2022-11-11,TALAN,CASH SALE RECEIPT,8500.0,1317,ADMIN
2022-11-11,POWERMAX SHOP,CASH SALE RECEIPT,1250.0,1318,ADMIN
2022-11-11,THIRD WORLD,CASH SALE RECEIPT,2750.0,043,ADMIN
2022-11-11,MILLY SMARTS,CASH SALE RECEIPT,700.0,284,ADMIN
2022-11-11,DM ENTERPRISES,CASH SALE RECEIPT,1800.0,123,ADMIN
2022-11-11,MILLY SMARTS,CASH SALE RECEIPT,300.0,244,ADMIN
2022-11-11,MOONTEK,INVOICE,25000.0,001,ADMIN
2022-11-11,MOONTEK,INVOICE,26250.0,001,ADMIN
2022-11-11,JAWA ENTERPRISES,INVOICE,34000.0,002,ADMIN
2022-11-11,TIRIKI ENTERPRISES,INVOICE,8000.0,1610,ADMIN
2022-11-11,SOLARMAX,INVOICE,102500.0,1590,ADMIN
2022-11-11,PURE POWER,INVOICE,27200.0,1323,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,2550.0,51199,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,3750.0,51201,ADMIN
2022-11-12,NANCY ENTERPRISES,INVOICE,11100.0,001,ADMIN
2022-11-12,MERRY SONS,INVOICE,4400.0,1322,ADMIN
2022-11-12,PLODIAN ELECTRICALS LTD,INVOICE,2000.0,1321,ADMIN
2022-11-12,ELECTRIC LINK PAN AFRICA LTD,INVOICE,10500.0,dsm-23895,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,480.0,51203,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,4130.0,51202,ADMIN
2022-11-12,JSB EXTRA POWER LTD,INVOICE,48600.0,35922,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,30.0,51208,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,800.0,51207,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,3550.0,51206,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,61215.0,51205,ADMIN
2022-11-12,KING MAKER ELECTRICAL LTD,INVOICE,900.0,1325,ADMIN
2022-11-12,LUCY,INVOICE,7000.0,1326,ADMIN
2022-11-12,PRIME POWER,INVOICE,11700.0,1327,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,12000.0,51214,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,2600.0,51209,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,100.0,51210,ADMIN
2022-11-12,JSB EXTRA POWER LTD,INVOICE,16800.0,35932,ADMIN
2022-11-12,GERIERAL ELECTRICALS,CASH SALE RECEIPT,8800.0,1312,ADMIN
2022-11-12,TRONIC KENYA LIMITED,INVOICE,145700.18,NM-55228,ADMIN
2022-11-12,STARLIGHT INDUSTRY CO LTD,INVOICE,16200.0,7813,ADMIN
2022-11-12,STARLIGHT INDUSTRY CO LTD,INVOICE,22800.0,7732,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,20600.0,51216,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,30.0,51217,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,6000.0,51213,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,250.0,51218,ADMIN
2022-11-12,TRONIC KENYA LIMITED,INVOICE,2500.0,566,ADMIN
2022-11-12,GOLDMAX ELECTRICALS LTD,INVOICE,26160.0,1330,ADMIN
2022-11-12,WIPAJOS ELECTRICALS LTD,INVOICE,25800.0,1331,ADMIN
2022-11-12,TAMMAM,INVOICE,13750.0,1324,ADMIN
2022-11-12,TAMMAM,INVOICE,1800.0,1329,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,179245.0,51215,ADMIN
2022-11-12,TAMMAM,INVOICE,13930.0,1322,ADMIN
2022-11-12,KING MAKER ELECTRICAL LTD,INVOICE,6100.0,1333,ADMIN
2022-11-12,MARSKY ELECTRICALS LTD,INVOICE,280.0,1335,ADMIN
2022-11-12,MERRY SONS,INVOICE,9500.0,1334,ADMIN
2022-11-12,OLENGE ENT,INVOICE,9300.0,1336,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,1200.0,51223,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,3850.0,230993,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,10.0,51221,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,21000.0,51224,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,600.0,51219,ADMIN
2022-11-12,CBC STORE PLAZA,INVOICE,4500.0,51220,ADMIN
2022-11-12,SHOP STORE,INVOICE,6025.0,51224,ADMIN
2022-11-12,SHOP STORE,INVOICE,8000.0,230988,ADMIN
2022-11-12,SHOP STORE,INVOICE,2.0,230985,ADMIN
2022-11-12,SHOP STORE,INVOICE,1540.0,230992,ADMIN
2022-11-12,SHOP STORE,INVOICE,800.0,230990,ADMIN
2022-11-12,SHOP STORE,INVOICE,300.0,230991,ADMIN
2022-11-12,SHOP STORE,INVOICE,35400.0,230983,ADMIN
2022-11-14,TRONIC KENYA LIMITED,INVOICE,44125.0,28274,ADMIN
2022-11-14,CBC STORE PLAZA,INVOICE,55.0,51233,ADMIN
2022-11-14,CBC STORE PLAZA,INVOICE,48.0,51234,ADMIN
2022-11-14,CBC STORE PLAZA,INVOICE,14400.0,51231,ADMIN
2022-11-14,CBC STORE PLAZA,INVOICE,5500.0,51230,ADMIN
2022-11-14,CBC STORE PLAZA,INVOICE,13250.0,51229,ADMIN
2022-11-14,CBC STORE PLAZA,INVOICE,4775.0,51228,ADMIN
2022-11-14,CBC STORE PLAZA,INVOICE,10.0,51227,ADMIN
2022-11-14,DPLIGHT,INVOICE,18000.0,11032,ADMIN
2022-11-14,LUMMY GLOW ELECTRICALS,CASH SALE RECEIPT,5400.0,1064,ADMIN
2022-11-14,ALEXIS,CASH SALE RECEIPT,450.0,6165,ADMIN
2022-11-14,VASTECH AGENCIESB LTD,CASH SALE RECEIPT,1200.0,17721,ADMIN
2022-11-14,RICH MARK ELECTRICAL SALES,CASH SALE RECEIPT,150.0,2351,ADMIN
2022-11-14,HIKVISION,CASH SALE RECEIPT,6800.0,1718,ADMIN
2022-11-14,WANCHA ELECTRICALS,CASH SALE RECEIPT,600.0,1608,ADMIN
2022-11-14,JOY ENTERPRISES,CASH SALE RECEIPT,1250.0,5305,ADMIN
2022-11-14,BACKMART MERCHANTS LIMITED,CASH SALE RECEIPT,2200.0,3680,ADMIN
